TICKER,DURATION,PERIODEND,INDEXNAME,VALUE,CUMULATIVEVALUE,COMMENT,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
MELI,Month,01/04/22,Mercado Libre Transaction Index,3.324295081,98.17948038,,15:00.0,0.151813494,
MELI,Month,01/05/22,Mercado Libre Transaction Index,2.990964593,101.170445,,15:00.0,0.039186699,
MELI,Month,01/06/22,Mercado Libre Transaction Index,3.550599723,104.7210447,,15:00.0,0.135012017,
MELI,Month,01/07/22,Mercado Libre Transaction Index,3.401241194,108.1222859,,15:00.0,0.121953871,
MELI,Month,01/08/22,Mercado Libre Transaction Index,3.391267451,111.5135533,,15:00.0,0.084684998,
MELI,Month,01/09/22,Mercado Libre Transaction Index,3.542552248,115.0561056,,15:00.0,0.104384136,
MELI,Month,01/10/22,Mercado Libre Transaction Index,3.345217847,118.4013234,,15:00.0,0.095314046,
MELI,Month,01/11/22,Mercado Libre Transaction Index,3.564321672,121.9656451,,15:00.0,0.127998054,
MELI,Month,01/12/22,Mercado Libre Transaction Index,3.861464297,125.8271094,,15:00.0,0.096587155,
MELI,Month,01/01/23,Mercado Libre Transaction Index,4.223503169,130.0506126,,15:00.0,0.156510008,
MELI,Month,01/02/23,Mercado Libre Transaction Index,3.931907883,133.9825205,,15:00.0,0.20937438,
MELI,Month,01/03/23,Mercado Libre Transaction Index,3.43821213,137.4207326,,15:00.0,0.16834751,
MELI,Month,01/04/23,Mercado Libre Transaction Index,3.96045368,141.3811863,,15:00.0,0.191366465,
MELI,Month,01/05/23,Mercado Libre Transaction Index,3.674554011,145.0557403,,15:00.0,0.228551491,
MELI,Month,01/06/23,Mercado Libre Transaction Index,4.210630397,149.2663707,,15:00.0,0.18589273,
MELI,Month,01/07/23,Mercado Libre Transaction Index,4.114346125,153.3807168,,15:00.0,0.209660206,
MELI,Month,01/08/23,Mercado Libre Transaction Index,4.33311878,157.7138356,,15:00.0,0.277728414,
MELI,Month,01/09/23,Mercado Libre Transaction Index,4.501239012,162.2150746,,15:00.0,0.27062036,
MELI,Month,01/10/23,Mercado Libre Transaction Index,4.127234651,166.3423092,,15:00.0,0.233771563,
MELI,Month,01/11/23,Mercado Libre Transaction Index,4.637034299,170.9793435,,15:00.0,0.300958423,
MELI,Month,01/12/23,Mercado Libre Transaction Index,4.974944491,175.954288,,15:00.0,0.288356983,
MELI,Month,01/01/24,Mercado Libre Transaction Index,5.296787515,181.2510756,,15:00.0,0.254121828,
MELI,Month,01/02/24,Mercado Libre Transaction Index,4.746076294,185.9971518,,15:00.0,0.207067011,
MELI,Month,01/03/24,Mercado Libre Transaction Index,4.472781107,190.469933,,15:00.0,0.300903184,
MELI,Month,01/04/24,Mercado Libre Transaction Index,4.665201952,195.1351349,,15:00.0,0.177946349,
MELI,Month,01/05/24,Mercado Libre Transaction Index,4.694688802,199.8298237,,15:00.0,0.27762139,
MELI,Month,01/06/24,Mercado Libre Transaction Index,5.193471352,205.0232951,,15:00.0,0.233418957,
MELI,Month,01/07/24,Mercado Libre Transaction Index,5.146718602,210.1700137,,15:00.0,0.250920182,
MELI,Month,01/08/24,Mercado Libre Transaction Index,5.51510043,215.6851141,,15:00.0,0.272778502,
